entry,exit,dir,entry_p,exit_p,pnl,regime,strategy,reason
2026-05-10 14:00:00+00:00,2026-05-10 14:15:00+00:00,-1,2329.8022485714287,2320.0975318782857,84.38301519169241,RANGO,range,sl
2026-05-11 09:00:00+00:00,2026-05-11 09:15:00+00:00,1,2338.5492874285715,2339.970218713943,-19.769024883863565,RANGO,range,sl
2026-05-11 22:00:00+00:00,2026-05-11 22:15:00+00:00,-1,2339.661071142857,2325.4485750713716,91.50244846930947,RANGO,range,sl
2026-05-15 00:00:00+00:00,2026-05-15 00:15:00+00:00,1,2293.6158494285714,2309.9937054015427,93.004800146405,RANGO,range,sl
2026-05-20 07:00:00+00:00,2026-05-20 07:15:00+00:00,-1,2128.224909142857,2107.5247878389714,108.50235995641361,RANGO,range,sl
2026-05-20 23:00:00+00:00,2026-05-20 23:15:00+00:00,1,2131.2129594285716,2139.676685979543,73.58157628773716,RANGO,range,sl
2026-05-21 12:00:00+00:00,2026-05-21 12:15:00+00:00,1,2118.814586857143,2146.7350942254857,116.36484677614334,RANGO,range,sl
2026-05-22 01:00:00+00:00,2026-05-22 01:15:00+00:00,1,2137.684747428572,2141.6548916219426,34.18127225015921,RANGO,range,sl
2026-05-22 15:00:00+00:00,2026-05-22 15:15:00+00:00,1,2120.850038857143,2136.6296871350855,104.58318131733179,RANGO,range,sl
2026-05-23 18:00:00+00:00,2026-05-24 18:00:00+00:00,1,2075.9915682857145,2101.5980874006286,71.26234309600743,TENDENCIA_ALCISTA,trend,timeout
2026-05-25 10:00:00+00:00,2026-05-25 10:15:00+00:00,-1,2115.194522571429,2101.1051103330856,96.90589500658237,RANGO,range,sl
2026-05-25 23:00:00+00:00,2026-05-25 23:15:00+00:00,1,2114.4849591428574,2132.3347458653143,109.33920798503371,RANGO,range,sl
2026-05-27 11:00:00+00:00,2026-05-27 11:15:00+00:00,1,2081.9359671428574,2095.3237556637146,101.87944599469915,RANGO,range,sl
2026-05-29 23:00:00+00:00,2026-05-29 23:15:00+00:00,1,2016.7044794285714,2029.475087675543,92.21890415001198,RANGO,range,sl
2026-05-30 12:00:00+00:00,2026-05-30 12:15:00+00:00,1,2020.9308291428572,2020.9289566913142,-139.56244978090305,RANGO,range,sl
2026-05-31 01:00:00+00:00,2026-05-31 01:15:00+00:00,-1,2028.0931065714285,2021.3666900498856,78.49714389313006,RANGO,range,sl
2026-05-31 15:00:00+00:00,2026-05-31 15:15:00+00:00,1,2011.5963182857142,2025.4234664506287,108.65558353320606,RANGO,range,sl
2026-06-01 05:00:00+00:00,2026-06-02 05:00:00+00:00,-1,1992.6969471428572,2001.9626822465714,-58.64092325306072,TENDENCIA_BAJISTA,trend,timeout
2026-06-02 22:00:00+00:00,2026-06-03 22:00:00+00:00,-1,1865.9081745714286,1841.3712530634857,76.63487245488658,RUPTURA,breakout,timeout
2026-06-03 20:00:00+00:00,2026-06-04 20:00:00+00:00,-1,1779.0256405714288,1775.0038765566856,6.587631597081275,RUPTURA,breakout,timeout
2026-06-05 06:00:00+00:00,2026-06-06 06:00:00+00:00,-1,1653.5139817142856,1579.2554170820572,150.4877534723452,RUPTURA,breakout,timeout
2026-06-07 02:00:00+00:00,2026-06-08 02:00:00+00:00,1,1594.439534,1683.8401120931999,288.32201044502443,TENDENCIA_ALCISTA,trend,timeout
2026-06-10 18:00:00+00:00,2026-06-10 18:15:00+00:00,1,1633.528868857143,1665.5606513690857,126.01515446442443,RANGO,range,sl
2026-06-11 08:00:00+00:00,2026-06-11 08:15:00+00:00,-1,1658.1360080000002,1637.9136272015999,119.84889094270031,RANGO,range,sl
2026-06-12 10:00:00+00:00,2026-06-12 10:15:00+00:00,-1,1673.368744285714,1653.5709594631428,123.67101843132683,RANGO,range,sl
2026-06-12 23:00:00+00:00,2026-06-12 23:15:00+00:00,1,1668.004567714286,1671.9751133721713,50.26959381843406,RANGO,range,sl
2026-06-14 13:00:00+00:00,2026-06-15 13:00:00+00:00,-1,1665.6145491428572,1794.9952657669712,-1276.5944954343806,TENDENCIA_BAJISTA,trend,timeout
2026-06-15 10:00:00+00:00,2026-06-16 10:00:00+00:00,1,1739.6231968571428,1787.4564325034855,364.6888089668055,RUPTURA,breakout,timeout
2026-06-20 00:00:00+00:00,2026-06-20 00:15:00+00:00,-1,1707.2881685714285,1699.6615290622858,82.2220135343967,RANGO,range,sl
2026-06-21 09:00:00+00:00,2026-06-21 09:15:00+00:00,1,1733.8014845714285,1740.3883111316572,83.5409728969731,RANGO,range,sl
2026-06-22 08:00:00+00:00,2026-06-22 08:15:00+00:00,-1,1746.0008705714285,1728.3287716026857,112.10311778447752,RANGO,range,sl
2026-06-22 21:00:00+00:00,2026-06-22 21:15:00+00:00,1,1734.4521194285715,1745.9875381475429,98.61717376693842,RANGO,range,sl
