symbol,entry_time,direction,entry,sl_original,tp1,tp2,exit_price,pnl,contracts,close_type,tp1_hit,tp2_hit,half_tp1_hit
XRPUSDT,2026-05-25T18:45:00+00:00,bearish,1.3596,1.3667280000000002,1.3467695999999996,1.333939199999999,1.3596,2.524236969970894,327.8979312116568,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-25T18:50:00+00:00,bearish,1.359,1.3667280000000002,1.3450895999999997,1.3311791999999993,1.359,2.5514987292465974,305.706369484527,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-25T18:55:00+00:00,bearish,1.3587,1.3667280000000002,1.3442495999999997,1.3297991999999994,1.3587,2.5790549155224682,297.4606141839688,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-25T19:00:00+00:00,bearish,1.3569,1.3667280000000002,1.3392095999999998,1.3215191999999993,1.3569,2.60690870861009,245.60483921694424,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-25T19:05:00+00:00,bearish,1.3569,1.3667280000000002,1.3392095999999998,1.3215191999999993,1.3569,2.6350633226630795,248.25737148048728,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-31T05:20:00+00:00,bearish,1.3436,1.3494936,1.3329915199999998,1.3223830399999996,1.3436,0.0,313.8435014426936,BE_after_50%,False,False,True
XRPUSDT,2026-05-31T05:30:00+00:00,bearish,1.3449,1.3494936,1.33663152,1.3283630400000002,1.3449,1.9976415049108796,402.66197755631447,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-31T05:35:00+00:00,bearish,1.3443,1.3494936,1.3349515200000002,1.3256030400000003,1.3443,2.0138224011006782,359.0284911024223,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-31T05:40:00+00:00,bearish,1.3439,1.3494936,1.3338315200000004,1.3237630400000007,1.3439,2.030134362549575,336.05442637975693,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-31T05:50:00+00:00,bearish,1.3436,1.3494936,1.3329915199999998,1.3223830399999996,1.3436,0.0,321.5318391334443,BE_after_50%,False,False,True
XRPUSDT,2026-05-31T05:55:00+00:00,bearish,1.3433,1.3494936,1.3321515199999998,1.32100304,1.3433,0.0,305.95777045932545,BE_after_50%,False,False,True
XRPUSDT,2026-05-31T06:00:00+00:00,bearish,1.3416,1.3494936,1.3273915199999997,1.3131830399999997,1.3416,0.0,240.0653753821921,BE_after_50%,False,False,True
XRPUSDT,2026-05-31T06:05:00+00:00,bearish,1.3416,1.3494936,1.3273915199999997,1.3131830399999997,1.3416,0.0,240.0653753821921,BE_after_50%,False,False,True
XRPUSDT,2026-05-31T06:10:00+00:00,bearish,1.3411,1.3494936,1.3259915199999999,1.31088304,1.3411,0.0,225.76487408464598,BE_after_50%,False,False,True
